neighborhood,price,beds,baths,extra,state,locality,lga,hood,zipcode
olaleye estate alaka iponri surulere lagos,2500000,3,4,"brand new service 3 bedroom flat all rooms ensuite with a guest toilet oven, g.. ",Lagos,Lagos,Surulere,Oke Ira,
"off kudirat abiola way, julie estateoregun ikeja lagos",2500000,3,3,the property is a 3 bedrooms upscale flat all rooms ensuite plus a room steward/.. ,Lagos,Ikeja,Ikeja,Allen,
...lekki phase 1 lekki lagos,800000,1,1,"for more information, pricing, and private viewings, please contact: ? thelma.. ",Lagos,Lekki,,Lekki Phase 1,
lekki phase 1 lekki lagos,1200000,1,1,"for more information, pricing, and private viewings, please contact: ? thelma.. ",Lagos,Lekki,,Lekki Phase 1,
ketu lagos,1000000,2,2,brand new 2 bedrooms flat for rent at ketu lagos rent: n1 million apro gl.. ,Lagos,Lagos,Kosofe,Ketu,
lekki lagos,350000,5,1,"sweet 1 room apartment for rent at ikota lekki lagos rent: n350,000 apro.. ",Lagos,Lekki,,,
sangotedo ajah lagos,550000,1,1,furnishedroom and parlour self contain for rent at songotedo before shoprite 550k.. ,Lagos,,Eti Osa,Ajah/Sangotedo,
berger ojodu lagos,700000,2,2,furnished newly builtclean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. ,Lagos,Ojodu Berger,,,
toniaalagomeji yaba lagos,2000000,3,3,furnished servicedexcellent executive serviced 3 bedroom flat @ alagomeji yaba. it is well furnis.. ,Lagos,Lagos,Surulere,Orile Iganmu,
morrocofola agoro yaba lagos,500000,1,1,newly builtfor rent newly built spacious pop finished and screeded miniflat with 2 toilet.. ,Lagos,Lagos,Shomolu,Abule ijesha,100001
oke ira ogba lagos,700000,2,2,"furnisheda decent 2 bedroom flat with pop, modern facilities, fully furnished, in serene .. ",Lagos,Lagos,Ikeja,Ojodu,
iwaya onike yaba lagos,700000,1,1,servicedthis is a lovely miniflat @ iwaya yaba. it is well furnished with well made wa.. ,Lagos,Lagos,Lagos Mainland,Onike,
bailey abule ijesha yaba lagos,600000,1,1,furnished serviced newly builtthis is a lovely newly built miniflat @ abule ijesha yaba. it is well furnished.. ,Lagos,Lagos,Shomolu,Igbobi,100001
folami fola agoro yaba lagos,550000,1,1,newly builtthis is a lovely newly built miniflat @ off folagoro road. it is fenced round .. ,Lagos,Lagos,Shomolu,Igbobi,100246
gbagada lagos,300000,1,1,"1 room self contain apartment for rent at gbagada - lagos rent: n300,000 .. ",Lagos,Lagos,Kosofe,Gbagada,
off ayo-alabi roadoke ira ogba lagos,350000,1,1,"we have a nice miniflat in a serene and gated street, tight security, interlock .. ",Lagos,Ikeja,Ikeja,Ojodu,100213
off college roadifako ogba ogba lagos,700000,2,2,"furnishedwe have a spacious 2 bedroom apartment, nice environment, renovated. interested .. ",Lagos,Lagos,Ifako/Ijaye,,
ibeju lekki lagos,350000,1,1,furnished newly builtroom and parlour self contain for rent at destiny home estate abijo close to exp.. ,Lagos,,Ibeju Lekki,,
off oyatogunoke ira ogba lagos,700000,2,2,"furnishedwe have a bice 2 bedroom at a good location, gated street, serene environment, f.. ",Lagos,Ojodu,,Ogba,
off admiralty waylekki phase 1 lekki lagos,900000,1,1,a well maintained studio apartment (one massive room only selfcon) self servi.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
off admiralty waylekki phase 1 lekki lagos,800000,1,1,a well maintained and spacious selfcon apartment is now available for rent in le.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
off admiralty waylekki phase 1 lekki lagos,1500000,1,1,newly finished a well maintained and spaciously finished miniflat upstairs is.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
surulere lagos,850000,5,2,"new 2 bedrooms for rent at surulere lagos rent: n850,000 apro global.. ",Lagos,Lagos,Surulere,,
off admiralty waylekki phase 1 lekki lagos,1800000,1,1,a well maintained miniflat apartment serviced with generator is now available. .. ,Lagos,Lekki,Eti Osa,Eti-Osa,
off admiralty waylekki phase 1 lekki lagos,1800000,1,1,a serviced miniflat apartment is now available for rent in lekki phase 1 rent.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
gated estatelekki phase 1 lekki lagos,2500000,4,2,a brand new 2 bedroom apartment with 24 hours electricity provided is now availa.. ,Lagos,Lagos,Eti Osa,Lekki Phase I,234001
admiralty waylekki phase 1 lekki lagos,2500000,3,4,a well maintained and massively built 3 bedroom apartment upstairs is now availa.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
off admiralty waylekki phase 1 lekki lagos,850000,1,1,the finest studio apartment deal in the market. located upstairs in a newly d.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
off admiralty waylekki phase 1 lekki lagos,1500000,1,1,newly finished and upstairs. this spacious miniflat apartment comes with it's.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
"joseph avenue, off united estate roadsangotedo lagos",700000,1,2,this is a self-serviced 2 bedroom apartment located in a serene environment with.. ,Lagos,Sangotedo,Eti Osa,Eti-Osa,
"oceanbay estate, lafiaji chevron lekki lagos",2000000,3,3,servicedthis is a fully serviced brand new 3 bedroom apartment located in oceanbay estat.. ,Lagos,Lekki,Eti Osa,Lekki Penninsula II,
ibeju lekki lagos,700000,3,3,furnished newly built3 bedroom flat for rent at awoyaya close to express 700k per anum.. ,Lagos,,Ibeju Lekki,,
abijoibeju lekki lagos,500000,1,1,furnished newly builtroom and parlour self contain for rent at olive garden estate abijo close to exp.. ,Lagos,Lekki,Ibeju Lekki,,
...eleko ibeju lekki lagos,170000,1,1,furnished newly builta room self contain for rent at eleko junction close to express 170k per anum.. ,Lagos,Lekki,Ibeju Lekki,,
