neighborhood,price,beds,baths,toilets,extra
Sam najuma estate GaladimawaLokogoma Abuja,"₦ 1,300,000",3 beds,3 baths,4 Toilets,"Sharp 2nd floor 3 bedroom apartment @ Dr Sam nujoma estate Galadimawa for rent, .. "
DawakiGwarinpa Abuja,"₦ 1,500,000",3 beds,3 baths,4 Toilets,Newly BuiltIt's newly built and never been occupied. Soji.. 
Gaduwa Abuja,"₦ 1,500,000",3 beds,3 baths,4 Toilets,"3bedroom blocks of flat in Gaduwa District, ground floor. 1.5m Mighty rooms, p.. "
Maitama Abuja,"₦ 2,500,000",2 beds,2 baths,4 Toilets,ServicedA Serviced 2 bedroom flat in #maitama #abuja #Price: ?2.5m...rent Service ch.. 
In an estate behind games village Garki 1 Abuja,"₦ 1,500,000",2 beds,2 baths,3 Toilets,"2 Bedroom Flat With CCTV, Constant Water Supply, Security, Wardrobes, Water Heat.. "
Dawaki opposite gwarinpaGwarinpa Abuja,"₦ 1,000,000",2 beds,2 baths,3 Toilets,Newly BuiltNewly built 2 bedroom flat with modern facilities Specious compound and ample.. 
Life Camp Abuja,"₦ 500,000",beds, baths, Toilets,Newly BuiltProperty type: Newly built self contained available for rent. Location: Life ca.. 
Jahi Abuja,"₦ 2,700,000",3 beds,3 baths,4 Toilets,Serviced  Newly BuiltProperty type: Newly built and serviced 3 bedroom flat for rent. Location: Jahi.. 
Along Bwari Rd. Before Military check point.Kubwa Abuja,"₦ 650,000",2 beds,2 baths, 3 Toilets,Newly BuiltA newly completed 6 units of 2 bedroom flat is available for rent. It's a.. 
Sunnyvale estateLokogoma Abuja,"₦ 400,000",1 beds,1 baths,1 Toilets,1 bedroom mini flat Self Contain Flat / Apartment for rent Sunnyvale estate Lok.. 
...Life Camp Abuja,"₦ 1,500,000",3 beds,3 baths,4 Toilets,Newly BuiltDescription:6 Units of Newly Built 3 Bedroom Flat all rooms en-suite with guest .. 
JahiJahi Abuja,"₦ 3,000,000",3 beds,4 baths,4 Toilets,Serviced Newly BuiltA luxurious 3 three bedroom flat newly and Tastefully built that can be converte.. 
MaitamaMaitama Abuja,"₦ 3,000,000",2 beds,3 baths,3 Toilets,Servicedlovely and nicely standard serviced two bedroom flat with 24hours power and secu.. 
AsokoroAsokoro Abuja,"₦ 2,200,000",2 beds,2 baths,2 Toilets,Newly Builtlovely and tastefully newly built portable 2bedroom bungalow flat with 2 toilet .. 
JahiJahi Abuja,"₦ 1,800,000",2 beds,3 baths,3 Toilets,Serviced Newly BuiltTastefully built serviced two bedroom flat with all the necessary facilities goo.. 
...Life Camp Abuja,"₦ 650,000",1 beds,1 baths,1 Toilets,DESCRIPTION :2 UNITS FOR SELF CONTAIN FOR RENT IN A SERENE ENVIRONMENT LOCATION.. 
JahiJahi Abuja,"₦ 2,300,000",2 beds,3 baths,3 Toilets,Serviced Newly Builtlovely and tastefully newly built spacious 2bedroom flat with boys quarter upsta.. 
JahiJahi Abuja,"₦ 2,700,000",3 beds,4 baths,4 Toilets,"Newly Builtnicely and Tastefully built three bedroom flat downstairs, with excellent facili.. "
Fo1 kubwaKubwa Abuja,"₦ 1,100,000",2 beds,2 baths,2 Toilets,Beautiful and nicely used 2 bedroom flat with excellent facilities located in a .. 
Along Kubwa express roadKubwa Abuja,"₦ 1,100,000",2 beds,3 baths,3 Toilets,Furnished Serviced Newly BuiltA newly built and nicely serviced and semi furnished 2bedroom flat downstairs a.. 
...Jabi Abuja,"₦ 3,000,000",3 beds,3 baths,3 Toilets,"DESCRIPTION :A 3 Bedroom Apartment All Rooms Ensuite For Rent LOCATION :JABI, A.. "
Life Camp Abuja,"₦ 2,000,000",3 beds,3 baths,4 Toilets,Newly BuiltDESCRIPTION :NEWLY BUILT 6 UNITS OF 3 BEDROOM APARTMENT FOR RENT LOCATION :LIFE.. 
Jabi Abuja,"₦ 3,000,000",3 beds,3 baths, Toilets,"DESCRIPTION :3 BEDROOM FLAT WITH 2 BEDROOM BQ FOR RENT LOCATION : JABI, ABUJA .. "
JahiJahi Abuja,"₦ 2,400,000",3 beds,4 baths,4 Toilets,Serviced Newly BuiltA luxurious three bedroom flat newly and Tastefully built serviced with mikano d.. 
AsokoroAsokoro Abuja,"₦ 2,500,000",1 beds,1 baths,1 Toilets,FurnishedLovely and tastefully furnished 1 bedroom flat ground floor option of six months.. 
-Apo Abuja,"₦ 450,000",1 beds,1 baths,1 Toilets,"DESCRIPTION : 3 NUMBERS OF SELF CONTAIN FOR RENT IN AN ESTATE LOCATION : APO, A.. "
DawakiGwarinpa Abuja,"₦ 1,300,000",3 beds,4 baths,4 Toilets,Newly BuiltLovely and tastefully newly built standard three bedroom flat all rooms ensuite .. 
AsokoroAsokoro Abuja,"₦ 3,500,000",3 beds,4 baths,4 Toilets,ServicedLovely and spacious 3 bedroom with all the necessary facilities located in a coz.. 
Life Camp Abuja,"₦ 2,500,000",3 beds, baths, Toilets,"DESCRIPTION :3 BEDROOM FLAT FOR RENT LOCATION : LIFE CAMP, ABUJA RENT :2.5M P.. "
Patricia Etteh CloseWuye Abuja,"₦ 2,000,000",3 beds,3 baths,4 Toilets,DESCRIPTION :Very Clean and spacious 24 units of 3 bedroom flat all rooms ensuit.. 
Life Camp Abuja,"₦ 1,000,000",1 beds,1 baths,1 Toilets,Newly BuiltDESCRIPTION :NEWLY BUILT 3 UNITS OF 1 BEDROOM FLAT FOR RENT LOCATION ; LIFE CAM.. 
Asokoro district by blinkersAsokoro Abuja,"₦ 1,800,000",1 beds,2 baths,2 Toilets,Newly BuiltLovely and tastefully built standard one bedroom flat in a nice and serene neigh.. 
Garki 1 Abuja,"₦ 1,100,000",1 beds,1 baths,2 Toilets,ServicedSpacious One bedroom in #garki #abuja #Price: ?1.1m Service charge: ?100k .. 
Located at hill view estateLife Camp Abuja,"₦ 1,500,000",2 beds,3 baths,3 Toilets,A well finished and spacious 2 bedroom flat in a remote and serene estate along .. 
Located at Hill view estateLife Camp Abuja,"₦ 1,200,000",2 beds,3 baths,3 Toilets,Newly BuiltNewly built and tastefully finished 2 bedroom flat in a remote and serene estate.. 
Located at crd estateLugbe Abuja,"₦ 750,000",2 beds,3 baths,3 Toilets,Newly renovated and spacious 2 bedroom flat in a remote and serene area at crd w.. 
Located at river park estateLugbe Abuja,"₦ 1,400,000",2 beds,3 baths,3 Toilets,Newly BuiltA well finished and partially serviced 2 bedroom flat in a remote and accessible.. 
Katampe Main Abuja,"₦ 2,000,000",3 beds,3 baths,3 Toilets,Serviced Newly BuiltNewly built Serviced 3bedrooms flat inside an estate in katampe Main by Aso Radi.. 
Mabushi Abuja,"₦ 650,000",1 beds,1 baths,2 Toilets,"Spacious self contain in #mabushi #abuja #Price: ?650k #House Condition: Okay,.. "
Located at crd estateLugbe Abuja,"₦ 700,000",2 beds,3 baths,3 Toilets,Newly renovated and spacious 2 bedroom flat in a remote and serene area at crd e.. 
Wuye Abuja,"₦ 2,700,000",2 beds,2 baths,2 Toilets,ServicedA Serviced 2bedrooms flat in wuye for 2.7m including service charge.. 
"Old CBN , Garki 2 FCT Abuja.Garki 2 Abuja","₦ 2,000,000",2 beds,3 baths,3 Toilets,ServicedTo Let Newly refurbished Luxury 2 bedroom fully finished and fully serviced u.. 
Garki 1 Abuja,"₦ 1,200,000",1 beds,1 baths,2 Toilets,"A Spacious 1bedroom flat with 2 toilets located in garki, area8, Abuja, Nigeria... "
by V.I.OMabushi Abuja,"₦ 1,800,000",3 beds,3 baths,3 Toilets,ServicedClean Standard 3 bedroom flat for rent with p O.p and 4 toilets and bathroom in.. 
"MAB Global Estate, Opposite Gwarinpa Gwarinpa Abuja","₦ 1,500,000",2 beds,2 baths, Toilets,Newly BuiltChristmas yummy A Well finished newly built 2 bedrooms flat located within an es.. 
Located at crd estateLugbe Abuja,"₦ 900,000",2 beds,3 baths,3 Toilets,"ServicedA well finished, spacious and serviced 2 bedroom flat in a remote and serene env.. "
Mabushi Abuja,"₦ 2,500,000",3 beds,3 baths,3 Toilets,Spacious 3bedrooms flat. Features are Security Waste disposal Treated water .. 
Located behind new site estateLugbe Abuja,"₦ 800,000",2 beds,2 baths,2 Toilets,Newly BuiltA well finished and spacious 2 bedroom flat in a remote and serene environment b.. 
Located at river park estateLugbe Abuja,"₦ 1,800,000",3 beds,4 baths,4 Toilets,Newly BuiltNewly built 3 bedroom flat in a compound of 2 located in a remote and serene are.. 
Located at river park estateLugbe Abuja,"₦ 1,600,000",3 beds,4 baths,4 Toilets,Newly BuiltNewly built and tastefully finished 3 bedroom flat in a remote and serene area a.. 
Located at river park estateLugbe Abuja,"₦ 2,000,000",3 beds,4 baths,4 Toilets,Newly BuiltA well spacious and finished 3 bedroom flat in a remote and accessible area at r.. 
Located at river park estateLugbe Abuja,"₦ 1,400,000",3 beds,4 baths,4 Toilets,Newly BuiltA well finished and spacious 3 bedroom flat in a remote and secured environment .. 
Mabushi Abuja,"₦ 1,500,000",2 beds,2 baths,3 Toilets,"ServicedA Spacious 2 bedroom flat located in a serene environment in mabushi, Abuja, Nig.. "
Located at penthouse estateLugbe Abuja,"₦ 350,000",1 beds,1 baths,1 Toilets,Newly BuiltA well spacious and nice self contain in a remote and accessible area at penthou.. 
Located at river park estateLugbe Abuja,"₦ 1,000,000",2 beds,3 baths,3 Toilets,Newly BuiltNewly built and spacious 2 bedroom flat in a secured and remote environment at r.. 
After Cedar Crest HospitalApo Abuja,"₦ 1,200,000",3 beds,3 baths,4 Toilets,"Newly Built 3Bedroom apartment with kitchen cabinet, wardrobes, pop finishing, a.. "
Suncity Estate Galadinmawa Abuja,"₦ 1,600,000",3 beds,3 baths,4 Toilets,"Nice 3Bedroom flat with water heater, kitchen cabinet, wardrobes , all rooms ens.. "
Yawahab estateWuye Abuja,"₦ 1,200,000",1 beds,1 baths,2 Toilets,Estate service charge:3k monthly Agency/legal:15% Ed.. 
Minfa 1 EstateLokogoma Abuja,"₦ 400,000",1 beds,1 baths,1 Toilets,Newly BuiltGolden spring.. 
By Gilmore Jahi Abuja,"₦ 2,500,000",2 beds,2 baths,3 Toilets,"Serviced Newly BuiltBrand new 2 bedrooms service apartment all rooms ensuite 2nd floor, 6 units the.. "
