neighborhood,price,beds,baths,toilets,extra
OLALEYE Estate Alaka Iponri Surulere Lagos,"₦ 2,500,000",3 beds,4 baths,4 Toilets,Clean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
"Off Kudirat Abiola way, Julie EstateOregun Ikeja Lagos","₦ 2,500,000",3 beds,3 baths,4 Toilets,Clean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
-Old Ikoyi Ikoyi Lagos,"$ 40,000",3 beds,3 baths,4 Toilets,Serviced Newly BuiltClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
...Lekki Phase 1 Lekki Lagos,"₦ 800,000",1 beds,1 baths,1 Toilets,Clean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Lekki Phase 1 Lekki Lagos,"₦ 1,200,000",1 beds,1 baths,1 Toilets,Clean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Salem LekkiIkate Lekki Lagos,"₦ 1,000,000",beds, baths, Toilets,Clean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Sangotedo Ajah Lagos,"₦ 550,000",1 beds,1 baths,2 Toilets,FurnishedClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Berger Ojodu Lagos,"₦ 700,000",2 beds,2 baths,3 Toilets,Furnished Newly BuiltClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
ToniaAlagomeji Yaba Lagos,"₦ 2,000,000",3 beds,3 baths,4 Toilets,Furnished ServicedClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
MorrocoFola Agoro Yaba Lagos,"₦ 500,000",1 beds,1 baths,2 Toilets,Newly BuiltClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Akinola Akoka Yaba Lagos,"₦ 400,000",beds, baths,1 Toilets,Furnished ServicedClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Oke Ira Ogba Lagos,"₦ 700,000",2 beds,2 baths,3 Toilets,FurnishedClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Iwaya Onike Yaba Lagos,"₦ 700,000",1 beds,1 baths,1 Toilets,ServicedClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Bailey Abule Ijesha Yaba Lagos,"₦ 600,000",1 beds,1 baths,2 Toilets,Furnished Serviced Newly BuiltClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Folami Fola Agoro Yaba Lagos,"₦ 550,000",1 beds,1 baths,2 Toilets,Newly BuiltClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
St.Finbars Akoka Yaba Lagos,"₦ 500,000",beds, baths,1 Toilets,Furnished Serviced  Newly BuiltClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
St. Finbars Akoka Yaba Lagos,"₦ 600,000",beds, baths,1 Toilets,Furnished Serviced Newly BuiltClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Gbagada Lagos,"₦ 300,000",1 beds,1 baths,1 Toilets,Clean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Off Ayo-Alabi RoadOke Ira Ogba Lagos,"₦ 350,000",1 beds,1 baths,1 Toilets,Clean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Off College RoadIfako Ogba Ogba Lagos,"₦ 700,000",2 beds,2 baths,2 Toilets,FurnishedClean executive 2 bedroom flat all rooms ensuite. upstairs available @ ojodu ar.. 
Ibeju Lekki Lagos,"₦ 350,000",1 beds,1 baths,2 Toilets,"Furnished Newly BuiltNewly renovated 2 bedrooms flats with dining, prepaid meter, wardrobes, POP ceil.. "
Off OyatogunOke Ira Ogba Lagos,"₦ 700,000",2 beds,2 baths,2 Toilets,"FurnishedNewly renovated 2 bedrooms flats with dining, prepaid meter, wardrobes, POP ceil.. "
Off Admiralty WayLekki Phase 1 Lekki Lagos,"₦ 900,000",1 beds,1 baths,1 Toilets,"Newly renovated 2 bedrooms flats with dining, prepaid meter, wardrobes, POP ceil.. "
Off Admiralty WayLekki Phase 1 Lekki Lagos,"₦ 800,000",1 beds,1 baths,1 Toilets,"Newly renovated 2 bedrooms flats with dining, prepaid meter, wardrobes, POP ceil.. "
Agege Lagos,"₦ 800,000",3 beds, baths, Toilets,"Newly renovated 2 bedrooms flats with dining, prepaid meter, wardrobes, POP ceil.. "
Off Admiralty WayLekki Phase 1 Lekki Lagos,"₦ 1,500,000",1 beds,1 baths,1 Toilets,"Newly renovated 2 bedrooms flats with dining, prepaid meter, wardrobes, POP ceil.. "
Off Demurin road Ketu Kosofe Ikosi Lagos,"₦ 400,000",1 beds, baths, Toilets,"Newly renovated 2 bedrooms flats with dining, prepaid meter, wardrobes, POP ceil.. "
