neighborhood,price,beds,baths,toilets,extra
ShimawaMowe Obafemi Owode Ogun,"₦ 260,000",3 beds,1 baths,2 Toilets,Newly Built24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Adigbe Abeokuta Ogun,"₦ 300,000",2 beds,3 baths,3 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Private EstateMagboro Obafemi Owode Ogun,"₦ 250,000",1 beds,1 baths,2 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
MagboroMagboro Obafemi Owode Ogun,"₦ 350,000",2 beds,2 baths,2 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Private EstateArepo Ogun,"₦ 450,000",2 beds,2 baths,3 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
"Private Estate, Off Berger ExpresswayMagboro Obafemi Owode Ogun","₦ 400,000",3 beds,3 baths,4 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Private EstateBerger Arepo Ogun,"₦ 500,000",2 beds,2 baths,3 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Havana estateArepo Arepo Ogun,"₦ 500,000",3 beds,3 baths,4 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Private EstateArepo Ogun,"₦ 470,000",2 beds,2 baths,3 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Private EstateArepo Ogun,"₦ 400,000",2 beds,2 baths,3 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
journalist estateArepo Arepo Ogun,"₦ 350,000",2 beds,2 baths,2 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Off berger expresswayMagboro Obafemi Owode Ogun,"₦ 350,000",2 beds,2 baths,3 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Arepo Ogun,"₦ 500,000",2 beds,2 baths,3 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Oke-AfaMagboro Obafemi Owode Ogun,"₦ 600,000",3 beds,3 baths,4 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Heritage Estate Ojodu Abiodun Axis (Ogun State side) of Ojodu BergerBerger Ojodu Lagos,"₦ 500,000",3 beds,3 baths,3 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Arepo Arepo Ogun,"₦ 600,000",3 beds,3 baths,4 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
"Itele, close to Ayobo LagosOta Gra Ado Odo Ota Ogun","₦ 150,000",2 beds,2 baths,2 Toilets,Serviced24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Itele Ogun state close to Ayobo LagosAyobo Ipaja Lagos,"₦ 200,000",2 beds,2 baths,2 Toilets,Newly Built24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Itele ogun state close to ayobo LagosAyobo Ipaja Lagos,"₦ 250,000",3 beds,3 baths,3 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Itele ogun state close to ayobo LagosAyobo Ipaja Lagos,"₦ 90,000",1 beds,1 baths,1 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Itele ogun state close to ayobo LagosAyobo Ipaja Lagos,"₦ 120,000",1 beds,1 baths,1 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Teacher estate moweMowe Obafemi Owode Ogun,"₦ 130,000",1 beds,1 baths,1 Toilets,"Newly BuiltNewly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele ogun state Close to Ayobo LagosAyobo Ipaja Lagos,"₦ 250,000",3 beds,3 baths,3 Toilets,"Newly BuiltNewly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Aiyetoro Itele ogun state close to ayobo LagosAyobo Ipaja Lagos,"₦ 200,000",2 beds,2 baths,2 Toilets,"Newly BuiltNewly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele Ogun State close to Ayobo LagosAyobo Ipaja Lagos,"₦ 100,000",1 beds,1 baths,1 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele ogun state close to ayobo LagosAyobo Ipaja Lagos,"₦ 150,000",2 beds,2 baths,2 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele Ogun State close to Ayobo LagosAyobo Ipaja Lagos,"₦ 120,000",1 beds,1 baths,1 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Aiyetoro ogun state close to ayobo LagosAyobo Ipaja Lagos,"₦ 250,000",2 beds,2 baths,3 Toilets,"Newly BuiltNewly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele ogun state close to ayobo LagosAyobo Ipaja Lagos,"₦ 100,000",1 beds,1 baths,1 Toilets,"Newly BuiltNewly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele Ogun State close to Ayobo LagosAyobo Ipaja Lagos,"₦ 100,000",1 beds,1 baths,1 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele Ogun state close to Ayobo LagosAyobo Ipaja Lagos,"₦ 250,000",3 beds,3 baths,4 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele Ogun state close to Ayobo LagosAyobo Ipaja Lagos,"₦ 90,000",1 beds,1 baths,2 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele Ogun State close to Ayobo LagosAyobo Ipaja Lagos,"₦ 72,000",1 beds,1 baths,1 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Idiorogbo Aiyetoro ogun state close to Ayobo Lagos Ayobo Ipaja Lagos,"₦ 150,000",2 beds,2 baths,2 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
"Magboro by MFM Prayer City side, Off Lagos Ibadan Express Way Ogun State Magboro Obafemi Owode Ogun","₦ 450,000",2 beds,2 baths,2 Toilets,"Newly BuiltNewly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
"No 9 infinity denro isashi road, ojodu Berger ogun stateBerger Ojodu Lagos","₦ 350,000",3 beds,3 baths,4 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele Ogun State close to Ayobo LagosAyobo Ipaja Lagos,"₦ 90,000",1 beds,1 baths,1 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Itele ogun state close to ayobo LagosAyobo Ipaja Lagos,"₦ 100,000",1 beds,1 baths,1 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
-Sango Ota Ado Odo Ota Ogun,"₦ 130,000",1 beds,1 baths,1 Toilets,"Furnished Newly BuiltNewly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
Ayetoro ogun stateAyobo Ipaja Lagos,"₦ 100,000",1 beds,1 baths,1 Toilets,"Newly built 2 bedroom flats all tiles, pop, 3 toilets, wardrobes, kitchen cabine.. "
 Aiyetoro ogun state close to AyoboAyobo Ipaja Lagos,"₦ 250,000",3 beds,3 baths,3 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
"Itele,close to Ayobo Lagos.Ota Gra Ado Odo Ota Ogun","₦ 150,000",2 beds,2 baths,2 Toilets,ServicedNeat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
Itele ogun state close to ayobo LagosAyobo Ipaja Lagos,"₦ 130,000",2 beds,2 baths,2 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
Ilupeju magboro ogunMagboro Obafemi Owode Ogun,"₦ 150,000",beds, baths, Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
Itele ogun state close to Ayobo Lagos Ayobo Ipaja Lagos,"₦ 170,000",2 beds,3 baths,3 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
Itele Ogun state close to Ayobo LagosAyobo Ipaja Lagos,"₦ 200,000",2 beds,2 baths,3 Toilets,Newly BuiltNeat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
Itele ogun state close to ayobo LagosAyobo Ipaja Lagos,"₦ 100,000",1 beds,1 baths,1 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
Itele Ogun State close to Ayobo LagosAyobo Ipaja Lagos,"₦ 72,000",1 beds,1 baths,1 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
Laderin Abeokuta Ogun StateOke Mosan Abeokuta Ogun,"₦ 300,000",1 beds,1 baths,2 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
"Private Estate, off Berger ExpresswayArepo Ogun","₦ 550,000",3 beds,3 baths,4 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
Private EstateMagboro Obafemi Owode Ogun,"₦ 450,000",2 beds,2 baths,3 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
very close to magboro bus stopMagboro Obafemi Owode Ogun,"₦ 450,000",2 beds,2 baths,3 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
ibafoIbafo Obafemi Owode Ogun,"₦ 200,000",1 beds,1 baths,2 Toilets,FurnishedNeat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
"27, OGOLUWA STREET NTABO SANGOAdo Odo Ota Ogun","₦ 400,000",1 beds,0 baths,0 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
"IRE AKARI CDA,OFF COCA-COLA ROAD OJUOREAdo Odo Ota Ogun","₦ 200,000",2 beds,0 baths,0 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
ArepoObafemi Owode Ogun,"₦ 800,000",3 beds,4 baths,0 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
- Arepo Ogun,"₦ 600,000",2 beds,3 baths,0 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
ODO ERAN AT GBONANGUNAbeokuta Ogun,"₦ 153,000",3 beds,0 baths,0 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
SANGO-ATAN-SOKOTO BUS STOPSango Ota Ado Odo Ota Ogun,"₦ 150,000",2 beds,2 baths,0 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
Okeata ItaoshinAbeokuta Ogun,"₦ 370,000",3 beds,0 baths,0 Toilets,Neat Mini flat in a decent area it has water at Itele ogun state close to Ayobo .. 
"NO 12, ABIOLA WAYAbeokuta Ogun","₦ 300,000",2 beds,0 baths,0 Toilets,24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
...Arepo Ogun,"₦ 500,000",3 beds,3 baths,4 Toilets,24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
"Private Estate, via Berger ExpresswayArepo Ogun","₦ 450,000",2 beds,2 baths,3 Toilets,24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
via arepoArepo Ogun,"₦ 500,000",3 beds,3 baths,4 Toilets,24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
arepArepo Arepo Ogun,"₦ 650,000",3 beds,3 baths,4 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
magboroMagboro Obafemi Owode Ogun,"₦ 450,000",3 beds,3 baths,4 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
magboroMagboro Obafemi Owode Ogun,"₦ 450,000",3 beds,3 baths,4 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
Private EstateArepo Ogun,"₦ 600,000",3 beds,3 baths,4 Toilets,24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
magboroMagboro Obafemi Owode Ogun,"₦ 450,000",3 beds,3 baths,4 Toilets,Furnished24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
7 Babatola Agbeni Street Ibafo Ibafo Obafemi Owode Ogun,"₦ 260,000",3 beds,3 baths,3 Toilets,24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
Magboro Magboro Obafemi Owode Ogun,"₦ 350,000",1 beds,1 baths,2 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
magboroMagboro Obafemi Owode Ogun,"₦ 220,000",1 beds,1 baths,1 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
MagboroMagboro Obafemi Owode Ogun,"₦ 300,000",2 beds,2 baths,3 Toilets,Furnished24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
"Assese, off Lagos-Ibadan ExpresswayObafemi Owode Ogun","₦ 200,000",2 beds,2 baths,3 Toilets,24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
Arepo private estateArepo Arepo Ogun,"₦ 300,000",2 beds,2 baths,2 Toilets,Furnished24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
Arepo Estate RoadArepo Arepo Ogun,"₦ 550,000",3 beds,3 baths,4 Toilets,Furnished24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
IbafoIbafo Obafemi Owode Ogun,"₦ 220,000",1 beds,1 baths,1 Toilets,Furnished24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
"--OGUN RIVER ROAD,ISHERI.........Berger Ojodu Lagos","₦ 400,000",2 beds,3 baths,3 Toilets,24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
Arepo private estateArepo Arepo Ogun,"₦ 650,000",3 beds,3 baths,4 Toilets,Furnished24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
"--OGUN RIVER ROAD,ISHERI.........Berger Ojodu Lagos","₦ 400,000",2 beds,3 baths,3 Toilets,24-hours Security Spacious Rooms Water Heater Ample Parking Space Kitchen Ca.. 
laderinOke Mosan Abeokuta Ogun,"₦ 300,000",1 beds,1 baths,1 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Arepo Ogun,"₦ 500,000",3 beds,3 baths,4 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
FORTHRIGHTArepo Ogun,"₦ 500,000",2 beds,2 baths,3 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
gated estate inArepo Arepo Ogun,"₦ 500,000",2 beds,2 baths,3 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
MagboroMagboro Obafemi Owode Ogun,"₦ 350,000",2 beds,2 baths,3 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
MagboroMagboro Obafemi Owode Ogun,"₦ 500,000",2 beds,2 baths,3 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
NUJArepo Ogun,"₦ 650,000",3 beds,3 baths,4 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Private EstateArepo Ogun,"₦ 500,000",2 beds,2 baths,3 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
"Private Estate, via Berger ExpresswayArepo Ogun","₦ 800,000",3 beds,3 baths,4 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
Arepo private Estate Arepo Arepo Ogun,"₦ 800,000",3 beds,3 baths,4 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
"Assese, off Lagos-Ibadan ExpresswayObafemi Owode Ogun","₦ 250,000",2 beds,2 baths,2 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
MagboroMagboro Obafemi Owode Ogun,"₦ 450,000",2 beds,2 baths,3 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
magboroMagboro Obafemi Owode Ogun,"₦ 450,000",2 beds,2 baths,2 Toilets,Furnished Newly Built24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
MagboroMagboro Obafemi Owode Ogun,"₦ 350,000",3 beds,3 baths,3 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
"Private Estate, via Berger ExpresswayArepo Ogun","₦ 500,000",3 beds,3 baths,4 Toilets,24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
"Iperu Remo, Ogun StateIkenne Remo North Ogun","₦ 200,000",2 beds,2 baths,3 Toilets,Newly Built24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
ibafoIbafo Obafemi Owode Ogun,"₦ 300,000",3 beds,3 baths,4 Toilets,Furnished24-hours Security Spacious Rooms Ample Parking Space Kitchen Cabinets Cross .. 
