neighborhood,price,beds,baths,toilets,extra
Iyaganku GRA quarters IbadanIyanganku Ibadan Oyo,"₦ 1,000,000",3 beds,3 baths,3 Toilets,['']
Behind DSS ile tuntun nihort Jericho ibadanIdishin Ibadan Oyo,"₦ 450,000",3 beds,3 baths,3 Toilets,['']
 Yidi apete junction ibadan Ibadan Polytechnic University Of Ibadan Ibadan Oyo,"₦ 126,000",1 beds,1 baths,1 Toilets,"['Serviced', 'Newly Built']"
"Adeoyo GRA, off ring road, ibadan Ring Rd Ibadan Oyo","₦ 750,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Opposition nnpc filling station, akala express, oluyole extensionibadan.Akala Express Ibadan Oyo","₦ 600,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Akoto, elebu oluyole extensionAkala Express Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['Newly Built']
Wisdom Estate Akobo Ibadan Oyo,"₦ 400,000",3 beds,4 baths,4 Toilets,['Newly Built']
"Commodore area of elebu, very close to akala expressAkala Express Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Peace estate directly beside, behind boldplace hotels, akala express, ibadan Akala Express Ibadan Oyo","₦ 600,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Akuru, elebuAkala Express Ibadan Oyo","₦ 500,000",2 beds,2 baths,3 Toilets,['']
"Inuolaji, sharp corner, oluyole extension, ibadanOluyole Estate Ibadan Oyo","₦ 600,000",3 beds,3 baths,3 Toilets,['Newly Built']
AjeigbeRing Rd Ibadan Oyo,"₦ 500,000",3 beds,4 baths,4 Toilets,['Newly Built']
Elebu after Icast schoolAkala Express Ibadan Oyo,"₦ 600,000",3 beds,3 baths,4 Toilets,['Newly Built']
"19, green gate estate, Oluyole estateOluyole Estate Ibadan Oyo","₦ 1,000,000",4 beds,4 baths,5 Toilets,['Furnished']
...Akobo Ibadan Oyo,"₦ 250,000",3 beds,3 baths,4 Toilets,['Furnished']
Awotan Ibadan Polytechnic University Of Ibadan Ibadan Oyo,"₦ 150,000",1 beds,1 baths,1 Toilets,['']
Ibadan Oyo,"₦ 250,000",3 beds,3 baths,3 Toilets,"['Furnished', 'Newly Built']"
Agbowo ExpressIbadan Polytechnic University Of Ibadan Ibadan Oyo,"₦ 180,000",1 beds,1 baths,1 Toilets,['Newly Built']
"No 12,banklin street off iwo road Olodo ibadanIwo Rd Ibadan Oyo","₦ 300,000",1 beds,1 baths,2 Toilets,['Newly Built']
"Elebu after Icast school, okebukun estateAkala Express Ibadan Oyo","₦ 370,000",3 beds,3 baths, 3 Toilets,['Newly Built']
GRAIyanganku Ibadan Oyo,"₦ 1,000,000",3 beds,3 baths,4 Toilets,['Newly Built']
Akobo Ibadan Oyo,"₦ 350,000",3 beds,3 baths,3 Toilets,['Furnished']
Arapaja Odo Ona Ibadan Oyo,"₦ 400,000",3 beds,3 baths,4 Toilets,['Newly Built']
Taska stationAkala Express Ibadan Oyo,"₦ 450,000",2 beds,2 baths,2 Toilets,['Newly Built']
MosokeAjibode Ibadan Oyo,"₦ 120,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Mofoluwaso Estate, Elewuro Ojurin Akobo, IbadanAkobo Ibadan Oyo","₦ 150,000",1 beds,1 baths,1 Toilets,"['Furnished', 'Serviced']"
-Ido Oyo,"₦ 200,000",1 beds,1 baths,2 Toilets,"['Furnished', 'Newly Built']"
Akobo Ibadan Oyo,"₦ 400,000",3 beds,3 baths,3 Toilets,"['Furnished', 'Newly Built']"
Ibadan Oyo,"₦ 300,000",3 beds,3 baths,4 Toilets,"['Furnished', 'Newly Built']"
Akobo Ibadan Oyo,"₦ 250,000",2 beds,2 baths,3 Toilets,"['Furnished', 'Newly Built']"
Mosoke AreaAjibode Ibadan Oyo,"₦ 120,000",1 beds,1 baths,1 Toilets,['']
Akobo Ibadan Oyo,"₦ 300,000",2 beds,2 baths,3 Toilets,['Furnished']
Akobo Ibadan Oyo,"₦ 250,000",3 beds,3 baths,4 Toilets,"['Furnished', 'Newly Built']"
Ojurin AkoboAkobo Ibadan Oyo,"₦ 250,000",2 beds,2 baths,2 Toilets,"['Furnished', 'Newly Built']"
Flow Estate ElewuroAkobo Ibadan Oyo,"₦ 150,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Igbo-Oloyin, Arulogun road. Ojoo Ibadan Oyo","₦ 180,000",1 beds,1 baths,2 Toilets,['Newly Built']
Akobo Ibadan Oyo,"₦ 350,000",3 beds,3 baths,4 Toilets,['Furnished']
"Rhema chapel area, modern farming, Oluyole estateOluyole Estate Ibadan Oyo","₦ 1,250,000",beds, baths, Toilets,"['Furnished', 'Serviced']"
Elewuro ojurin akoboAkobo Ibadan Oyo,"₦ 350,000",4 beds,4 baths,4 Toilets,"['Furnished', 'Serviced']"
...Akobo Ibadan Oyo,"₦ 350,000",3 beds,2 baths,3 Toilets,['Furnished']
Igbo Oloyin Arulogun area OjooOjoo Ibadan Oyo,"₦ 180,000",1 beds,1 baths,1 Toilets,['Newly Built']
GRA phase 1Alalubosa Ibadan Oyo,"₦ 650,000",3 beds,3 baths,4 Toilets,['']
"Ajibode, Lakoto AreaAjibode Ibadan Oyo","₦ 160,000",1 beds,1 baths,1 Toilets,['']
Akobo Ibadan Oyo,"₦ 550,000",3 beds,3 baths,4 Toilets,"['Furnished', 'Newly Built']"
Airport Alakia Ibadan Oyo,"₦ 150,000",1 beds,1 baths,1 Toilets,"['Serviced', 'Newly Built']"
"Apete, AwotanIbadan Polytechnic University Of Ibadan Ibadan Oyo","₦ 150,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Kongi street, adenuga bodijaBodija Ibadan Oyo","₦ 180,000",1 beds,1 baths,1 Toilets,"['Furnished', 'Serviced']"
