neighborhood,price,beds,baths,toilets,extra
GRA phase 3 tombia extensionNew Gra Port Harcourt Rivers,"₦ 1,500,000",2 beds,2 baths,2 Toilets,['Newly Built']
Ada George Port Harcourt Rivers,"₦ 500,000",2 beds,2 baths,2 Toilets,"['Furnished', 'Newly Built']"
odili roadTrans Amadi Port Harcourt Rivers,"₦ 550,000",1 beds,1 baths,2 Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 650,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 700,000",beds, baths, Toilets,['']
...Trans Amadi Port Harcourt Rivers,"₦ 800,000",0 beds,0 baths,0 Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 700,000",beds, baths, Toilets,['']
-Trans Amadi Port Harcourt Rivers,"₦ 1,400,000",0 beds,0 baths,0 Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 850,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 600,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 900,000",2 beds,2 baths, Toilets,['']
-Trans Amadi Port Harcourt Rivers,"₦ 600,000",0 beds,0 baths,0 Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 800,000",beds, baths, Toilets,['']
Odili road Trans Amadi Port Harcourt Rivers,"₦ 1,000,000",2 beds,2 baths,3 Toilets,['']
new Rd Ada George Port Harcourt Rivers,"₦ 450,000",2 beds,2 baths,2 Toilets,['Newly Built']
RUMUEKINI OFFEast West Road Port Harcourt Rivers,"₦ 260,000",1 beds,1 baths,2 Toilets,"['Furnished', 'Newly Built']"
NTA MGBUOBA ROADMagbuoba Port Harcourt Rivers,"₦ 700,000",2 beds,2 baths,3 Toilets,['']
Shell cooperative by Eliozu/Eneka link roadEliozu Port Harcourt Rivers,"₦ 1,000,000",3 beds,3 baths,4 Toilets,['']
Hilltop estate off Emmanuel road Odili roadTrans Amadi Port Harcourt Rivers,"₦ 1,200,000",3 beds,3 baths,4 Toilets,['']
Royal Avenue Estate off Peter Odili roadTrans Amadi Port Harcourt Rivers,"₦ 1,000,000",2 beds,2 baths,3 Toilets,['Newly Built']
New Road off AdageorgeAda George Port Harcourt Rivers,"₦ 500,000",2 beds,3 baths,3 Toilets,['']
Mini orlu street off AdageorgeAda George Port Harcourt Rivers,"₦ 500,000",2 beds,2 baths,3 Toilets,['']
"Peace Estate, behind First Bank close to Brainfield SchoolEliozu Port Harcourt Rivers","₦ 900,000",3 beds,3 baths,4 Toilets,['']
"Professor okujiaku street off Odili road, Trans AmadiTrans Amadi Port Harcourt Rivers","₦ 1,500,000",3 beds,3 baths,4 Toilets,['']
Oluobasanjo roadNew Gra Port Harcourt Rivers,"₦ 800,000",2 beds,2 baths,3 Toilets,['']
 St Michael rd off chinda by iwofe rdAda George Port Harcourt Rivers,"₦ 600,000",2 beds,2 baths,2 Toilets,['Newly Built']
"Paradise estate by shell cooperative off G.U Aki road, EliozuEliozu Port Harcourt Rivers","₦ 700,000",2 beds,2 baths,3 Toilets,['Newly Built']
Sun_city garden estate by Trans AmadiTrans Amadi Port Harcourt Rivers,"₦ 2,000,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Dr Peter Odili road, Trans Amadi, PH.Trans Amadi Port Harcourt Rivers","₦ 1,600,000",3 beds,3 baths,4 Toilets,['']
Peter Odili roadTrans Amadi Port Harcourt Rivers,"₦ 1,200,000",2 beds,2 baths,3 Toilets,['Newly Built']
