neighborhood,price,beds,baths,toilets,extra
GRA phase 3 tombia extensionNew Gra Port Harcourt Rivers,"₦ 1,500,000",2 beds,2 baths,2 Toilets,"Newly Built2no newly built 2bed room flats in GRA phas3 tombia extension, Rent: N1.5 pa C.. "
Ada George Port Harcourt Rivers,"₦ 500,000",2 beds,2 baths,2 Toilets,Furnished Newly BuiltA VIRGIN TWO BEDROOM FLAT Location: elioparanwagateway off Ada George Rent: .. 
odili roadTrans Amadi Port Harcourt Rivers,"₦ 550,000",1 beds,1 baths,2 Toilets,One bedroom for [email protected] #550k odili road.. 
Trans Amadi Port Harcourt Rivers,"₦ 650,000",beds, baths, Toilets,Decent King Size 2 Bedroom Flat For Rent In Woji Road Port Harcourt Enjoy su.. 
...Trans Amadi Port Harcourt Rivers,"₦ 800,000",0 beds,0 baths,0 Toilets,King Size 2 Bedroom For Rent In Woji  Port Harcourt Enjoy superb power supply.. 
Trans Amadi Port Harcourt Rivers,"₦ 700,000",beds, baths, Toilets,Super Beautiful 2 Bedroom Duplex For Rent In Woji Road Port Harcourt Enjoy .. 
-Trans Amadi Port Harcourt Rivers,"₦ 1,400,000",0 beds,0 baths,0 Toilets,Beautiful 2 Bedroom Duplex For Rent In Odili Road Port Harcourt Enjoy superb.. 
Trans Amadi Port Harcourt Rivers,"₦ 700,000",beds, baths, Toilets,Tastefully built 2 Bedroom Flat For Rent in Woji Port Harcourt Enjoy superb p.. 
Trans Amadi Port Harcourt Rivers,"₦ 850,000",beds, baths, Toilets,"Super Mini 2 Bedroom Flat For Rent In Odili Road Port Harcourt Enjoy privacy,.. "
Trans Amadi Port Harcourt Rivers,"₦ 900,000",2 beds,2 baths, Toilets,"Cool 2 Bedroom Flat For Rent In Odili Road Port Harcourt Enjoy privacy, enjoy.. "
Trans Amadi Port Harcourt Rivers,"₦ 600,000",beds, baths, Toilets,Neatly Moved Out 2 Bedroom flat For Rent In Woji Road Port Harcourt Enjoy sup.. 
-Trans Amadi Port Harcourt Rivers,"₦ 600,000",0 beds,0 baths,0 Toilets,Clean 2 Bedroom Flat For Rent In Woji Road Port Harcourt Enjoy superb power s.. 
Trans Amadi Port Harcourt Rivers,"₦ 800,000",beds, baths, Toilets,Tastefully finished 2 Bedroom Flat For Rent In Woji Road Port Harcourt Enjoy .. 
Odili road Trans Amadi Port Harcourt Rivers,"₦ 1,000,000",2 beds,2 baths,3 Toilets,"Now Letting Superbly built 2 bedroom flat with all rooms insuite, in a compound.. "
new Rd Ada George Port Harcourt Rivers,"₦ 450,000",2 beds,2 baths,2 Toilets,Newly BuiltTO LET VIRGIN HOUSE Location: new Rd by Ada George Two bedroom flat: 450k .. 
RUMUEKINI OFFEast West Road Port Harcourt Rivers,"₦ 260,000",1 beds,1 baths,2 Toilets,Furnished Newly BuiltTO LET VIRGIN ONE BEDROOM FLAT LOCATED AT RUMUEKINI OFF EAST WEST ROAD Rent:26.. 
NTA MGBUOBA ROADMagbuoba Port Harcourt Rivers,"₦ 700,000",2 beds,2 baths,3 Toilets,Now Letting Sharp 2 bedroom flat with federal light well built with quality fin.. 
Shell cooperative by Eliozu/Eneka link roadEliozu Port Harcourt Rivers,"₦ 1,000,000",3 beds,3 baths,4 Toilets,Newly built and tastefully finished 2 bedroom flat with room bq for each of the .. 
Hilltop estate off Emmanuel road Odili roadTrans Amadi Port Harcourt Rivers,"₦ 1,200,000",3 beds,3 baths,4 Toilets,Now Letting brand new 8 units of 2 and 3 bedroom flat in a gated estate off Emma.. 
Royal Avenue Estate off Peter Odili roadTrans Amadi Port Harcourt Rivers,"₦ 1,000,000",2 beds,2 baths,3 Toilets,Newly BuiltNow Letting a super standard 2 bedroom flat in a very secured estate (Royal Aven.. 
Mini orlu street off AdageorgeAda George Port Harcourt Rivers,"₦ 500,000",2 beds,2 baths,3 Toilets,"TO LET NOW Vacant standard two bedroom apartment with three toilets, bathtop, w.. "
New Road off AdageorgeAda George Port Harcourt Rivers,"₦ 500,000",2 beds,3 baths,3 Toilets,Now letting: we have 6 units of brand new 2 bedroom flat available for rent with.. 
